,auc_fold1,auc_fold2,auc_fold3,auc_mean,acc_fold1,acc_fold2,acc_fold3,acc_mean,f1_fold1,f1_fold2,f1_fold3,f1_mean
D_Sub_resnet50_ur0.1_Joint_CE_me100_lr_0.0001_decay_1e-05_aug_pin_bsz_32_rsz_288_temp_0.08_sampling_warmup_whole_data_cosine_,0.9570133333333332,0.94656,0.9137066666666668,0.9390933333333332,0.88,0.88,0.875,0.8783333333333333,0.8399999999999999,0.8441558441558442,0.8201438848920863,0.8347665763493101
D_Sub_resnet50_ur0.1_Joint_Con_me100_lr_0.0001_decay_1e-05_aug_pin_bsz_16_rsz_288_temp_0.08_SupCon_sampling_unbalanced_whole_data_cosine_,0.9640533333333334,0.9787733333333332,0.93152,0.9581155555555555,0.925,0.92,0.86,0.9016666666666667,0.8920863309352518,0.8904109589041095,0.825,0.869165763279787
D_Sub_resnet50_ur0.1_Joint_Con_me100_lr_0.0001_decay_1e-05_aug_pin_bsz_16_rsz_288_temp_0.08_SupCon_sampling_warmup_whole_data_cosine_,0.9751466666666666,0.9790933333333334,0.9783466666666668,0.977528888888889,0.94,0.93,0.905,0.9250000000000002,0.915492957746479,0.9027777777777778,0.8633093525179856,0.893860029347414
D_Sub_resnet50_ur0.1_Joint_Con_me100_lr_0.0001_decay_1e-05_aug_pin_bsz_16_rsz_288_temp_0.08_pos_denom_sampling_warmup_whole_data_cosine_,0.9758933333333334,0.9538133333333332,0.9712,0.9669688888888889,0.945,0.9,0.91,0.9183333333333333,0.9271523178807948,0.8571428571428571,0.8714285714285714,0.8852412488174077
D_Sub_resnet50_ur0.1_Joint_Con_me100_lr_0.0001_decay_1e-05_aug_pin_bsz_16_rsz_288_temp_0.08_pos_numer_sampling_warmup_whole_data_cosine_,0.9726933333333332,0.97888,0.9742933333333332,0.9752888888888888,0.925,0.93,0.92,0.9249999999999999,0.896551724137931,0.9,0.8873239436619718,0.8946252225999677
D_Sub_resnet50_ur0.1_meCE_lr_100_decay_0.0001_aug_1e-05_bsz_pin_rsz_32_temp_288_sampling_unbalanced_whole_data_cosine_,0.6642133333333333,0.67168,0.6500266666666666,0.6619733333333334,0.55,0.615,0.59,0.585,0.5212765957446809,0.5389221556886227,0.5287356321839081,0.5296447945390705
D_Sub_resnet50_ur0.1_meJoint_CE_lr_100_decay_0.0001_aug_1e-05_bsz_pin_rsz_32_temp_288_sampling_balanced_whole_data_cosine_,0.9221333333333332,0.9418666666666666,0.9296,0.9311999999999999,0.87,0.88,0.855,0.8683333333333333,0.8311688311688312,0.8378378378378378,0.8152866242038218,0.828097764403497
D_Sub_resnet50_ur0.1_meJoint_CE_lr_100_decay_0.0001_aug_1e-05_bsz_pin_rsz_32_temp_288_sampling_unbalanced_whole_data_cosine_,0.9477333333333332,0.9630933333333332,0.94944,0.9534222222222222,0.88,0.9,0.895,0.8916666666666666,0.8481012658227848,0.8701298701298702,0.8590604026845637,0.8590971795457395
D_Sub_resnet50_ur0.1_meJoint_Con_lr_100_decay_0.0001_aug_1e-05_bsz_pin_rsz_16_temp_288_SupCon_sampling_balanced_whole_data_cosine_,0.9488,0.9656533333333334,0.9712,0.9618844444444444,0.905,0.91,0.925,0.9133333333333334,0.8774193548387097,0.8749999999999999,0.8979591836734694,0.8834595128373931
D_Sub_resnet50_ur0.3_Joint_CE_me100_lr_0.0001_decay_1e-05_aug_pin_bsz_32_rsz_288_temp_0.08_sampling_warmup_whole_data_cosine_,0.9882666666666666,0.99328,0.99168,0.9910755555555556,0.93,0.945,0.935,0.9366666666666666,0.9,0.9241379310344828,0.9103448275862068,0.9114942528735632
