,auc_fold1,auc_fold2,auc_fold3,auc_mean,acc_fold1,acc_fold2,acc_fold3,acc_mean,f1_fold1,f1_fold2,f1_fold3,f1_mean,time_fold1,time_fold2,time_fold3,time_mean
"SolarPannel_resnet50_ur0.1_CE_me60_lr_0.0001_decay_1e-05_aug_resize_crop_bsz_16_rsz_[600, 300]_temp_0.08_sampling_unbalanced_whole_data_cosine_",0.9434399565124616,0.9448290463192212,0.93815373642683,0.9421409130861709,0.815633423180593,0.8237196765498652,0.8177897574123989,0.8190476190476191,0.936576889661164,0.9360210341805434,0.9401408450704226,0.9375795896373766,804.682621717453,912.4319262504578,1534.033855676651,1083.7161345481873
"SolarPannel_resnet50_ur0.1_CE_transfer_me60_lr_0.0001_decay_1e-05_aug_resize_crop_bsz_16_rsz_[600, 300]_temp_0.08_sampling_unbalanced_whole_data_cosine_",0.9423014360274188,0.95035661334405,0.9568474522071014,0.9498351671928567,0.8161725067385445,0.8328840970350404,0.8247978436657682,0.8246181491464509,0.9380530973451326,0.9381625441696112,0.9321428571428572,0.9361194995525336,807.4985184669495,908.5174245834352,1511.0960896015167,1075.7040108839672
"SolarPannel_resnet50_ur0.1_Joint_CE_me50_lr_0.0001_decay_1e-05_aug_resize_crop_bsz_16_rsz_[600, 300]_temp_0.08_sampling_unbalanced_whole_data_cosine_",0.9545040192475044,0.9565465176200214,0.9556756423416553,0.955575393069727,0.8102425876010781,0.815633423180593,0.8253369272237197,0.8170709793351302,0.9299820466786356,0.9271402550091076,0.936550491510277,0.93122426439934,2921.0961017608643,3434.560953140259,5800.678521871567,4052.11185892423
"SolarPannel_resnet50_ur0.1_Joint_Con_me50_lr_0.0001_decay_1e-05_aug_resize_crop_bsz_16_rsz_[600, 300]_temp_0.08_SupCon_sampling_warmup_whole_data_cosine_",0.9552694112288768,0.9533171991562148,0.9518194351782386,0.9534686818544434,0.8086253369272237,0.832345013477089,0.8150943396226416,0.8186882300089847,0.9355692850838482,0.9445407279029462,0.9328558639212176,0.9376552923026708,7466.786717653274,8677.909577131271,15155.27261018753,10433.322968324026
"SolarPannel_resnet50_ur0.3_CE_me60_lr_0.0001_decay_1e-05_aug_resize_crop_bsz_16_rsz_[600, 300]_temp_0.08_sampling_unbalanced_whole_data_cosine_",0.9649934015505848,0.9637176893023796,0.9612021028610326,0.9633043979046656,0.8528301886792453,0.844743935309973,0.8582210242587601,0.8519317160826595,0.9558441558441558,0.9479077711357814,0.9557675628794448,0.9531731632864607,2283.586511850357,2621.2025043964386,4813.461446523666,3239.416820923487
"SolarPannel_resnet50_ur0.3_CE_transfer_me60_lr_0.0001_decay_1e-05_aug_resize_crop_bsz_16_rsz_[600, 300]_temp_0.08_sampling_unbalanced_whole_data_cosine_",0.9667636956050184,0.963692494644524,0.9680241285165468,0.9661601062553631,0.859299191374663,0.8603773584905661,0.8657681940700809,0.8618149146451034,0.9593073593073592,0.9494773519163764,0.9609035621198958,0.9565627577812105,2280.9215834140778,2616.5398762226105,5826.811076641083,3574.7575120925903
"SolarPannel_resnet50_ur0.3_Joint_CE_me50_lr_0.0001_decay_1e-05_aug_resize_crop_bsz_16_rsz_[600, 300]_temp_0.08_sampling_unbalanced_whole_data_cosine_",0.9722462383902736,0.969207789460074,0.9695013686090675,0.9703184654864717,0.8700808625336928,0.8636118598382749,0.8641509433962264,0.865947888589398,0.9704861111111112,0.959094865100087,0.9547826086956522,0.9614545283022835,4148.209712505341,4781.587532997131,10437.324568033218,6455.707271178563
"SolarPannel_resnet50_ur0.3_Joint_Con_me50_lr_0.0001_decay_1e-05_aug_resize_crop_bsz_16_rsz_[600, 300]_temp_0.08_SupCon_sampling_warmup_whole_data_cosine_",0.9630930710613482,0.9696896817435666,0.9686747639039448,0.9671525055696198,0.8587601078167116,0.8576819407008086,0.8679245283018868,0.861455525606469,0.957968476357268,0.9655172413793104,0.9652777777777776,0.9629211651714521,9088.868256092072,10472.596564769745,20257.38897919655,13272.951266686121
"SolarPannel_resnet50_ur0.5_CE_me60_lr_0.0001_decay_1e-05_aug_resize_crop_bsz_16_rsz_[600, 300]_temp_0.08_sampling_unbalanced_whole_data_cosine_",0.9692395836727994,0.969058459462796,0.970981399708678,0.9697598142814244,0.8657681940700809,0.8878706199460916,0.8921832884097035,0.8819407008086254,0.9620689655172412,0.9733447979363714,0.9759036144578312,0.9704391259704813,3749.127649068832,4385.922466993332,8040.8215363025665,5391.95721745491
"SolarPannel_resnet50_ur0.5_CE_transfer_me60_lr_0.0001_decay_1e-05_aug_resize_crop_bsz_16_rsz_[600, 300]_temp_0.08_sampling_unbalanced_whole_data_cosine_",0.970477217222496,0.9672136093146628,0.967420696339266,0.9683705076254748,0.8787061994609164,0.8743935309973045,0.8733153638814016,0.8754716981132075,0.972318339100346,0.967965367965368,0.9646246764452114,0.9683027945036419,3757.1934700012207,4357.827598810196,8185.808166980743,5433.609745264053
